YearMonth,Macro_Sentiment (9999),Individual_Avg_Sentiment
2018-05,0.134865352,0.21504178612417219
2018-06,0.12822014198765433,0.20137972392781883
2018-07,0.05140754216049382,0.2019915733604068
2018-08,0.057524990810810805,0.2001683826385725
2018-09,0.1316232433888889,0.1985716349553131
2018-10,0.09331771532380953,0.2144797935413669
2018-11,0.061659857302083336,0.20317021678943123
2018-12,0.05108356376699029,0.1910426644581599
2019-01,0.07256508460465116,0.19600334313331447
2019-02,0.06426523776119403,0.20896448935706402
2019-03,0.09529189030487806,0.20780241792777845
2019-04,0.07760050304938272,0.2102311596226741
2019-05,0.06526994365384615,0.20711918395133377
2019-06,0.1159220409,0.20412694288919817
2019-07,0.11784021512500001,0.20901623489040624
2019-08,0.040580926275862066,0.19277166896107187
2019-09,0.1613433643544304,0.2158545006484496
2019-10,0.11521415887,0.21144866830715303
2019-11,0.11208863618181819,0.21139295469499939
2019-12,0.130589824,0.20712811899080746
2020-01,0.07553143874747476,0.2032795167649254
2020-02,0.05203876674074074,0.1914310125485177
2020-03,0.003978232517730498,0.1861594317467892
2020-04,0.010504665011363636,0.14584355045957625
2020-05,0.03733986003225807,0.1483989489859761
2020-06,0.08372431854455446,0.19397919385757834
2020-07,0.11230580096385541,0.19875992980511145
2020-08,0.11476316246391753,0.18777179284731965
2020-09,0.10470212717821782,0.2004305237043897
2020-10,0.0770201778974359,0.2044041008765524
2020-11,0.13006570417346938,0.20092690830293983
2020-12,0.11573151581944445,0.19771067349025567
2021-01,0.12722719542105265,0.1844767999970734
2021-02,0.15434354811382114,0.18219831866341235
2021-03,0.07984580229931973,0.2058125426368332
2021-04,0.1548384457184466,0.2039071433800298
2021-05,0.09872465102352941,0.18878810730238335
2021-06,0.08465356354545456,0.20695127575803193
2021-07,0.16636770807446807,0.2057784689501443
2021-08,0.09696470344354839,0.19479988698012135
2021-09,0.1260000185410959,0.2131236730448372
2021-10,0.11764154730000001,0.21046005859279696
2021-11,0.10898320887912089,0.21925632679000887
2021-12,0.12378241697014924,0.19856824918168184
2022-01,0.125023115392,0.19932230553838343
2022-02,0.04246992651086957,0.207878207376144
2022-03,0.050075470233766226,0.20960662707480768
2022-04,0.0564052776875,0.21953471458347742
2022-05,0.06091768693457944,0.20818577828630705
2022-06,0.089459416616,0.2180907084028024
2022-07,0.1177617968450704,0.2089062742163127
2022-08,0.12621589873913044,0.19921399774236437
2022-09,0.03371065121142857,0.21837406796338613
2022-10,0.07657309553333333,0.22325823498563732
2022-11,0.14375218171428572,0.2264983487337259
2022-12,0.08046991216666667,0.21533702168386878
2023-01,0.09060320932624114,0.21138985630594226
2023-02,0.1237165625986842,0.21420748699467992
2023-03,0.12441340188,0.22153895480249822
2023-04,0.12775183906766918,0.22855564885179916
2023-05,0.1358471259623656,0.21906658125641226
2023-06,0.15312010884895833,0.2226862370409642
2023-07,0.13128294732903226,0.22504910554452945
2023-08,0.12148656018064516,0.2156211157344607
2023-09,0.09967845969677419,0.23062782201075435
2023-10,0.07504759627272728,0.23787613200339455
2023-11,0.14716038220625,0.2266965706826597
2023-12,0.1421050961135135,0.22832357216811808
2024-01,0.16710564393,0.2164787581510987
2024-02,0.17394450015811966,0.21544483134171125
2024-03,0.12059541821722847,0.2337299218868251
2024-04,0.0752593459020979,0.22770692152481245
2024-05,0.12951318959288538,0.22384217180513197
2024-06,0.0993070289497908,0.22171179747237607
2024-07,0.1199381529762712,0.2259949787332624
2024-08,0.03963017921328671,0.216934983319298
2024-09,0.07448774308571429,0.22986905348360553
2024-10,0.12247780280075188,0.23670454399428148
2024-11,0.13216539501626015,0.21905738546776524
2024-12,0.1262554646184971,0.2197625887457943
2025-01,0.14908287504021447,0.2165878108543753
2025-02,0.10432825158984375,0.22139546713411867
2025-03,0.0749666265505618,0.227484751644362
2025-04,0.030697271814285717,0.21477423640364438
2025-05,0.07481869878635015,0.20872207953370842
2025-06,0.07659928807002801,0.21552912915883726
2025-07,0.06717890783641162,0.21676355207860182
2025-08,0.09776761192307692,0.20446645066789595
2025-09,0.11815597124786324,0.2246226341906133
