index,code,name
TSE Growth 250,1431,Ｌｉｂ　Ｗｏｒｋ
TSE Growth 250,1436,グリーンエナジー＆カンパニー
TSE Growth 250,1447,ＳＡＡＦホールディングス
TSE Growth 250,2158,ＦＲＯＮＴＥＯ
TSE Growth 250,2160,ジーエヌアイグループ
TSE Growth 250,2173,博展
TSE Growth 250,2195,アミタホールディングス
TSE Growth 250,2370,メディネット
TSE Growth 250,2438,アスカネット
TSE Growth 250,2497,ユナイテッド
TSE Growth 250,2934,ジェイフロンティア
TSE Growth 250,2936,ベースフード
TSE Growth 250,2937,サンクゼール
TSE Growth 250,2978,ツクルバ
TSE Growth 250,2986,ＬＡホールディングス
TSE Growth 250,2998,クリアル
TSE Growth 250,3063,ジェイグループホールディングス
TSE Growth 250,3133,海帆
TSE Growth 250,3140,ＢＲＵＮＯ
TSE Growth 250,3187,ミラタップ
TSE Growth 250,3300,アンビション　ＤＸ　ホールディングス
TSE Growth 250,3418,バルニバービ
TSE Growth 250,3479,ティーケーピー
TSE Growth 250,3491,ＧＡ　ｔｅｃｈｎｏｌｏｇｉｅｓ
TSE Growth 250,3496,アズーム
TSE Growth 250,3542,ベガコーポレーション
TSE Growth 250,3558,ジェイドグループ
TSE Growth 250,3623,ビリングシステム
TSE Growth 250,3653,モルフォ
TSE Growth 250,3692,ＦＦＲＩセキュリティ
TSE Growth 250,3723,日本ファルコム
TSE Growth 250,3773,アドバンスト・メディア
TSE Growth 250,3777,環境フレンドリーホールディングス
TSE Growth 250,3793,ドリコム
TSE Growth 250,3900,クラウドワークス
TSE Growth 250,3904,カヤック
TSE Growth 250,3905,データセクション
TSE Growth 250,3911,Ａｉｍｉｎｇ
TSE Growth 250,3914,ＪＩＧ－ＳＡＷ
TSE Growth 250,3979,うるる
TSE Growth 250,3989,シェアリングテクノロジー
TSE Growth 250,3990,ＵＵＵＭ
TSE Growth 250,3991,ウォンテッドリー
TSE Growth 250,4011,ヘッドウォータース
TSE Growth 250,4013,勤次郎
TSE Growth 250,4015,ペイクラウドホールディングス
TSE Growth 250,4051,ＧＭＯフィナンシャルゲート
TSE Growth 250,4054,日本情報クリエイト
TSE Growth 250,4055,ティアンドエスグループ
TSE Growth 250,4056,ニューラルグループ
TSE Growth 250,4058,トヨクモ
TSE Growth 250,4074,ラキール
TSE Growth 250,4165,プレイド
TSE Growth 250,4168,ヤプリ
TSE Growth 250,4169,ＥＮＥＣＨＡＮＧＥ
TSE Growth 250,4175,ｃｏｌｙ
TSE Growth 250,4176,ココナラ
TSE Growth 250,4192,スパイダープラス
TSE Growth 250,4258,網屋
TSE Growth 250,4259,エクサウィザーズ
TSE Growth 250,4263,サスメド
TSE Growth 250,4264,セキュア
TSE Growth 250,4270,ＢｅｅＸ
TSE Growth 250,4308,Ｊストリーム
TSE Growth 250,4371,コアコンセプト・テクノロジー
TSE Growth 250,4374,ＲＯＢＯＴ　ＰＡＹＭＥＮＴ
TSE Growth 250,4375,セーフィー
TSE Growth 250,4376,くふうカンパニー
TSE Growth 250,4377,ワンキャリア
TSE Growth 250,4389,プロパティデータバンク
TSE Growth 250,4393,バンク・オブ・イノベーション
TSE Growth 250,4413,ボードルア
TSE Growth 250,4414,フレクト
TSE Growth 250,4417,グローバルセキュリティエキスパート
TSE Growth 250,4418,ＪＤＳＣ
TSE Growth 250,4419,Ｆｉｎａｔｅｘｔホールディングス
TSE Growth 250,4425,Ｋｕｄａｎ
TSE Growth 250,4431,スマレジ
TSE Growth 250,4435,カオナビ
TSE Growth 250,4436,ミンカブ・ジ・インフォノイド
TSE Growth 250,4442,バルテス・ホールディングス
TSE Growth 250,4448,ｋｕｂｅｌｌ
TSE Growth 250,4475,ＨＥＮＮＧＥ
TSE Growth 250,4477,ＢＡＳＥ
TSE Growth 250,4478,フリー
TSE Growth 250,4482,ウィルズ
TSE Growth 250,4485,ＪＴＯＷＥＲ
TSE Growth 250,4488,ＡＩ　ｉｎｓｉｄｅ
TSE Growth 250,4490,ビザスク
TSE Growth 250,4493,サイバーセキュリティクラウド
TSE Growth 250,4495,アイキューブドシステムズ
TSE Growth 250,4498,サイバートラスト
TSE Growth 250,4563,アンジェス
TSE Growth 250,4564,オンコセラピー・サイエンス
TSE Growth 250,4571,ＮＡＮＯ　ＭＲＮＡ
TSE Growth 250,4572,カルナバイオサイエンス
TSE Growth 250,4575,キャンバス
TSE Growth 250,4579,ラクオリア創薬
TSE Growth 250,4582,シンバイオ製薬
TSE Growth 250,4588,オンコリスバイオファーマ
TSE Growth 250,4592,サンバイオ
TSE Growth 250,4593,ヘリオス
TSE Growth 250,4597,ソレイジア・ファーマ
TSE Growth 250,4599,ステムリム
TSE Growth 250,4772,ストリームメディアコーポレーション
TSE Growth 250,4811,ドリーム・アーツ
TSE Growth 250,4882,ペルセウスプロテオミクス
TSE Growth 250,4888,ステラファーマ
TSE Growth 250,4890,坪田ラボ
TSE Growth 250,4891,ティムス
TSE Growth 250,4893,ノイルイミューン・バイオテック
TSE Growth 250,4894,クオリプス
TSE Growth 250,4896,ケイファーマ
TSE Growth 250,4978,リプロセル
TSE Growth 250,5026,トリプルアイズ
TSE Growth 250,5027,ＡｎｙＭｉｎｄ　Ｇｒｏｕｐ
TSE Growth 250,5034,ｕｎｅｒｒｙ
TSE Growth 250,5038,ｅＷｅＬＬ
TSE Growth 250,5129,ＦＩＸＥＲ
TSE Growth 250,5132,ｐｌｕｓｚｅｒｏ
TSE Growth 250,5136,ｔｒｉｐｌａ
TSE Growth 250,5137,スマートドライブ
TSE Growth 250,5139,オープンワーク
TSE Growth 250,5243,ｎｏｔｅ
TSE Growth 250,5244,ｊｉｇ．ｊｐ
TSE Growth 250,5246,ＥＬＥＭＥＮＴＳ
TSE Growth 250,5248,テクノロジーズ
TSE Growth 250,5253,カバー
TSE Growth 250,5254,Ａｒｅｎｔ
TSE Growth 250,5258,トランザクション・メディア・ネットワークス
TSE Growth 250,5570,ジェノバ
TSE Growth 250,5572,Ｒｉｄｇｅ－ｉ
TSE Growth 250,5574,ＡＢＥＪＡ
TSE Growth 250,5582,グリッド
TSE Growth 250,5585,エコナビスタ
TSE Growth 250,5586,Ｌａｂｏｒｏ．ＡＩ
TSE Growth 250,5588,ファーストアカウンティング
TSE Growth 250,5590,ネットスターズ
TSE Growth 250,5591,ＡＶＩＬＥＮ
TSE Growth 250,5592,くすりの窓口
TSE Growth 250,5595,ＱＰＳ研究所
TSE Growth 250,5621,ヒューマンテクノロジーズ
TSE Growth 250,5759,日本電解
TSE Growth 250,5834,ＳＢＩリーシングサービス
TSE Growth 250,5842,インテグラル
TSE Growth 250,5888,ＤＡＩＷＡ　ＣＹＣＬＥ
TSE Growth 250,5892,ｙｕｔｏｒｉ
TSE Growth 250,6026,ＧＭＯ　ＴＥＣＨ
TSE Growth 250,6027,弁護士ドットコム
TSE Growth 250,6030,アドベンチャー
TSE Growth 250,6031,ＺＥＴＡ
TSE Growth 250,6040,日本スキー場開発
TSE Growth 250,6069,トレンダーズ
TSE Growth 250,6086,シンメンテホールディングス
TSE Growth 250,6094,フリークアウト・ホールディングス
TSE Growth 250,6176,ブランジスタ
TSE Growth 250,6182,メタリアル
TSE Growth 250,6224,ＪＲＣ
TSE Growth 250,6232,ＡＣＳＬ
TSE Growth 250,6255,エヌ・ピー・シー
TSE Growth 250,6521,オキサイド
TSE Growth 250,6557,ＡＩＡＩグループ
TSE Growth 250,6561,ＨＡＮＡＴＯＵＲ　ＪＡＰＡＮ
TSE Growth 250,6562,ジーニー
TSE Growth 250,6568,神戸天然物化学
TSE Growth 250,6574,コンヴァノ
TSE Growth 250,6612,バルミューダ
TSE Growth 250,6613,ＱＤレーザ
TSE Growth 250,7047,ポート
TSE Growth 250,7048,ベルトラ
TSE Growth 250,7050,フロンティアインターナショナル
TSE Growth 250,7061,日本ホスピスホールディングス
TSE Growth 250,7066,ピアズ
TSE Growth 250,7068,フィードフォースグループ
TSE Growth 250,7079,ＷＤＢココ
TSE Growth 250,7094,ＮｅｘＴｏｎｅ
TSE Growth 250,7096,ステムセル研究所
TSE Growth 250,7110,クラシコム
TSE Growth 250,7119,ハルメクホールディングス
TSE Growth 250,7133,ＨＹＵＧＡ　ＰＲＩＭＡＲＹ　ＣＡＲＥ
TSE Growth 250,7157,ライフネット生命保険
TSE Growth 250,7317,松屋アールアンドディ
TSE Growth 250,7318,セレンディップ・ホールディングス
TSE Growth 250,7320,日本リビング保証
TSE Growth 250,7326,ＳＢＩインシュアランスグループ
TSE Growth 250,7342,ウェルスナビ
TSE Growth 250,7343,ブロードマインド
TSE Growth 250,7352,ＴＷＯＳＴＯＮＥ＆Ｓｏｎｓ
TSE Growth 250,7373,アイドマ・ホールディングス
TSE Growth 250,7386,ジャパンワランティサポート
TSE Growth 250,7409,ＡｅｒｏＥｄｇｅ
TSE Growth 250,7674,ＮＡＴＴＹ　ＳＷＡＮＫＹホールディングス
TSE Growth 250,7683,ダブルエー
TSE Growth 250,7685,ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ
TSE Growth 250,7707,プレシジョン・システム・サイエンス
TSE Growth 250,7774,ジャパン・ティッシュエンジニアリング
TSE Growth 250,7776,セルシード
TSE Growth 250,7777,スリー・ディー・マトリックス
TSE Growth 250,7779,ＣＹＢＥＲＤＹＮＥ
TSE Growth 250,7792,コラントッテ
TSE Growth 250,7794,イーディーピー
TSE Growth 250,7803,ブシロード
TSE Growth 250,7806,ＭＴＧ
TSE Growth 250,9158,シーユーシー
TSE Growth 250,9162,ブリーチ
TSE Growth 250,9163,ナレルグループ
TSE Growth 250,9164,トライト
TSE Growth 250,9166,ＧＥＮＤＡ
TSE Growth 250,9168,ライズ・コンサルティング・グループ
TSE Growth 250,9204,スカイマーク
TSE Growth 250,9211,エフ・コード
TSE Growth 250,9218,メンタルヘルステクノロジーズ
TSE Growth 250,9223,ＡＳＮＯＶＡ
TSE Growth 250,9227,マイクロ波化学
TSE Growth 250,9245,リベロ
TSE Growth 250,9251,ＡＢ＆Ｃｏｍｐａｎｙ
TSE Growth 250,9252,ラストワンマイル
TSE Growth 250,9270,バリュエンスホールディングス
TSE Growth 250,9272,ブティックス
TSE Growth 250,9338,ＩＮＦＯＲＩＣＨ
TSE Growth 250,9343,アイビス
TSE Growth 250,9348,ｉｓｐａｃｅ
TSE Growth 250,9467,アルファポリス
TSE Growth 250,9522,リニューアブル・ジャパン
TSE Growth 250,9553,マイクロアド
TSE Growth 250,9556,ＩＮＴＬＯＯＰ
TSE Growth 250,9558,ジャパニアス
TSE Growth 250,9560,プログリット
TSE Growth 250,9561,グラッドキューブ
TSE Growth 250,135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ
TSE Growth 250,141A,トライアルホールディングス
TSE Growth 250,147A,ソラコム
TSE Growth 250,151A,ダイブ
TSE Growth 250,153A,カウリス
TSE Growth 250,156A,マテリアルグループ
TSE Growth 250,165A,ＳＢＩレオスひふみ
TSE Growth 250,166A,タスキホールディングス
TSE Growth 250,176A,レジル
TSE Growth 250,177A,コージンバイオ
TSE Growth 250,186A,アストロスケールホールディングス
TSE Growth 250,190A,Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅｕｔｉｃｓ
TSE Growth 250,192A,インテグループ
TSE Growth 250,194A,ＷＯＬＶＥＳ　ＨＡＮＤ
TSE Growth 250,198A,ＰｏｓｔＰｒｉｍｅ
TSE Growth 250,202A,豆蔵デジタルホールディングス
TSE Growth 250,205A,ロゴスホールディングス
TSE Growth 250,206A,ＰＲＩＳＭ　ＢｉｏＬａｂ
TSE Growth 250,215A,タイミー
TSE Growth 250,218A,Ｌｉｂｅｒａｗａｒｅ
TSE Growth 250,219A,Ｈｅａｒｔｓｅｅｄ
TSE Growth 250,228A,オプロ
TSE Growth 250,241A,ＲＯＸＸ
TSE Growth 250,244A,グロースエクスパートナーズ
TSE Growth 250,245A,ＩＮＧＳ
TSE Growth 250,246A,アスア
TSE Growth 250,247A,Ａｉロボティクス
TSE Growth 250,248A,キッズスター
